"","Observador","Sesion","Porcentaje"
"1","at","Sesion LT",100
"2","at","Sesion LT",75
"3","at","Sesion LT",100
"4","at","Sesion LT",100
"5","at","Sesion LT",100
"6","at","Sesion LT",100
"7","at","Sesion LT",100
"8","at","Sesion LT",75
"9","at","Sesion LT",100
"10","at","Sesion LT",100
"11","at","Sesion LT",100
"12","at","Sesion LT",100
"13","at","Sesion LT",100
"14","at","Sesion LT",100
"15","at","Sesion LT",100
"16","at","Sesion LT",100
"17","at","Sesion LT",100
"18","at","Sesion LT",100
"19","at","Sesion LT",75
"20","at","Sesion LT",100
"21","at","Sesion LT",75
"22","at","Sesion LT",100
"23","at","Sesion LT",75
"24","at","Sesion LT",75
"25","at","Sesion LT",75
"26","at","Sesion LT",100
"27","at","Sesion LT",100
"28","at","Sesion LT",100
"29","at","Sesion LT",100
"30","at","Sesion LT",100
"31","at","Sesion LT",100
"32","at","Sesion LT",75
"33","at","Sesion LT",100
"34","at","Sesion LT",75
"35","at","Sesion LT",100
"36","at","Sesion LT",100
"37","at","Sesion LT",100
"38","at","Sesion LT",100
"39","at","Sesion LT",100
"40","at","Sesion LT",100
"41","at","Sesion LT",100
"42","at","Sesion LT",100
"43","at","Sesion LT",100
"44","at","Sesion LT",100
"45","at","Sesion LT",100
"46","at","Sesion LT",100
"47","at","Sesion LT",75
"48","at","Sesion LT",100
"49","at","Sesion LT",75
"50","at","Sesion LT",75
"51","at","Sesion LT",100
"52","at","Sesion LT",75
"53","at","Sesion LT",100
"54","at","Sesion LT",100
"55","at","Sesion LT",100
"56","at","Sesion LT",75
"57","at","Sesion LT",100
"58","at","Sesion LT",100
"59","at","Sesion LT",100
"60","at","Sesion LT",100
"61","at","Sesion LT",100
"62","at","Sesion LT",100
"63","at","Sesion LT",100
"64","at","Sesion LT",75
"65","at","Sesion LT",100
"66","at","Sesion LT",100
"67","at","Sesion LT",100
"68","at","Sesion LT",100
"69","at","Sesion LT",100
"70","at","Sesion LT",100
"71","at","Sesion LT",75
"72","at","Sesion LT",100
"73","at","Sesion LT",100
"74","at","Sesion LT",100
"75","at","Sesion LT",100
"76","at","Sesion LT",100
"77","at","Sesion LT",100
"78","at","Sesion LT",100
"79","at","Sesion LT",100
"80","at","Sesion LT",100
"81","at","Sesion LT",100
"82","at","Sesion LT",100
"83","at","Sesion LT",100
"84","at","Sesion LT",100
"85","at","Sesion LT",100
"86","at","Sesion LT",75
"87","at","Sesion LT",100
"88","at","Sesion LT",100
"89","at","Sesion LT",100
"90","at","Sesion LT",100
"91","at","Sesion LT",75
"92","at","Sesion LT",100
"93","at","Sesion LT",100
"94","at","Sesion LT",100
"95","at","Sesion LT",100
"96","at","Sesion LT",100
"97","at","Sesion LT",75
"98","at","Sesion LT",100
"99","at","Sesion LT",100
"100","at","Sesion LT",100
"101","at","Sesion LT",100
"102","at","Sesion LT",100
"103","at","Sesion LT",100
"104","at","Sesion LT",100
"105","at","Sesion LT",100
"106","at","Sesion LT",100
"107","at","Sesion LT",75
"108","at","Sesion LT",75
"109","at","Sesion LT",100
"110","at","Sesion LT",100
"111","at","Sesion LT",100
"112","at","Sesion LT",100
"113","at","Sesion LT",100
"114","at","Sesion LT",100
"115","at","Sesion LT",100
"116","at","Sesion LT",75
