"","Observador","Porcentaje","Sesion"
"1","jjr",25,"Sesion 1"
"2","jjr",100,"Sesion 1"
"3","jjr",0,"Sesion 1"
"4","jjr",75,"Sesion 1"
"5","jjr",75,"Sesion 1"
"6","jjr",50,"Sesion 1"
"7","jjr",75,"Sesion 1"
"8","jjr",100,"Sesion 1"
"9","jjr",75,"Sesion 1"
"10","jjr",100,"Sesion 1"
"11","jjr",50,"Sesion 1"
"12","jjr",75,"Sesion 1"
"13","jjr",50,"Sesion 1"
"14","jjr",25,"Sesion 1"
"15","jjr",75,"Sesion 1"
"16","jjr",100,"Sesion 1"
"17","jjr",75,"Sesion 1"
"18","jjr",75,"Sesion 1"
"19","jjr",50,"Sesion 1"
"20","jjr",75,"Sesion 1"
"21","jjr",100,"Sesion 1"
"22","jjr",75,"Sesion 1"
"23","jjr",100,"Sesion 1"
"24","jjr",100,"Sesion 1"
"25","jjr",100,"Sesion 1"
"26","jjr",100,"Sesion 1"
"27","jjr",75,"Sesion 1"
"28","jjr",75,"Sesion 1"
"29","jjr",100,"Sesion 1"
"30","jjr",75,"Sesion 1"
"31","jjr",50,"Sesion 1"
"32","jjr",100,"Sesion 1"
"33","jjr",100,"Sesion 1"
"34","jjr",50,"Sesion 1"
"35","jjr",75,"Sesion 1"
"36","jjr",75,"Sesion 1"
"37","jjr",75,"Sesion 1"
"38","jjr",75,"Sesion 1"
"39","jjr",75,"Sesion 1"
"40","jjr",100,"Sesion 1"
"41","jjr",75,"Sesion 1"
"42","jjr",100,"Sesion 1"
"43","jjr",100,"Sesion 1"
"44","jjr",100,"Sesion 1"
"45","jjr",75,"Sesion 1"
"46","jjr",75,"Sesion 1"
"47","jjr",100,"Sesion 1"
"48","jjr",75,"Sesion 1"
"49","jjr",100,"Sesion 1"
"50","jjr",100,"Sesion 1"
"51","jjr",75,"Sesion 1"
"52","jjr",50,"Sesion 1"
"53","jjr",75,"Sesion 1"
"54","jjr",100,"Sesion 1"
"55","jjr",100,"Sesion 1"
"56","jjr",100,"Sesion 1"
"57","jjr",50,"Sesion 1"
"58","jjr",100,"Sesion 1"
"59","jjr",75,"Sesion 1"
"60","jjr",75,"Sesion 1"
"61","jjr",100,"Sesion 1"
"62","jjr",100,"Sesion 1"
"63","jjr",100,"Sesion 1"
"64","jjr",75,"Sesion 1"
"65","jjr",100,"Sesion 1"
"66","jjr",100,"Sesion 1"
"67","jjr",100,"Sesion 1"
"68","jjr",100,"Sesion 1"
"69","jjr",100,"Sesion 1"
"70","jjr",75,"Sesion 1"
"71","jjr",100,"Sesion 1"
"72","jjr",75,"Sesion 1"
