"","Observador","Porcentaje","Sesion"
"1","afb",75,"Sesion 1"
"2","afb",50,"Sesion 1"
"3","afb",75,"Sesion 1"
"4","afb",75,"Sesion 1"
"5","afb",75,"Sesion 1"
"6","afb",100,"Sesion 1"
"7","afb",75,"Sesion 1"
"8","afb",100,"Sesion 1"
"9","afb",100,"Sesion 1"
"10","afb",100,"Sesion 1"
"11","afb",75,"Sesion 1"
"12","afb",100,"Sesion 1"
"13","afb",100,"Sesion 1"
"14","afb",100,"Sesion 1"
"15","afb",75,"Sesion 1"
"16","afb",100,"Sesion 1"
"17","afb",75,"Sesion 1"
"18","afb",100,"Sesion 1"
"19","afb",100,"Sesion 1"
"20","afb",100,"Sesion 1"
"21","afb",100,"Sesion 1"
"22","afb",100,"Sesion 1"
"23","afb",100,"Sesion 1"
"24","afb",100,"Sesion 1"
"25","afb",100,"Sesion 1"
"26","afb",75,"Sesion 1"
"27","afb",100,"Sesion 1"
"28","afb",100,"Sesion 1"
"29","afb",100,"Sesion 1"
"30","afb",100,"Sesion 1"
"31","afb",100,"Sesion 1"
"32","afb",100,"Sesion 1"
"33","afb",100,"Sesion 1"
"34","afb",100,"Sesion 1"
"35","afb",100,"Sesion 1"
"36","afb",100,"Sesion 1"
"37","afb",100,"Sesion 1"
"38","afb",100,"Sesion 1"
"39","afb",100,"Sesion 1"
"40","afb",100,"Sesion 1"
"41","afb",100,"Sesion 1"
"42","afb",100,"Sesion 1"
"43","afb",100,"Sesion 1"
"44","afb",100,"Sesion 1"
"45","afb",100,"Sesion 1"
"46","afb",100,"Sesion 1"
"47","afb",100,"Sesion 1"
"48","afb",100,"Sesion 1"
"49","afb",100,"Sesion 1"
"50","afb",100,"Sesion 1"
"51","afb",100,"Sesion 1"
"52","afb",100,"Sesion 1"
"53","afb",100,"Sesion 1"
"54","afb",100,"Sesion 1"
"55","afb",75,"Sesion 1"
"56","afb",75,"Sesion 1"
"57","afb",100,"Sesion 1"
"58","afb",100,"Sesion 1"
"59","afb",75,"Sesion 1"
"60","afb",100,"Sesion 1"
