"","Direccion","Separacion","n","nYes","nNo","p","Observadores","Condicion","Grupo","Fijacion"
"1","0",3,9,2,7,0.222222222222222,"aaf","pre","cl","NA"
"2","0",5,7,4,3,0.571428571428571,"aaf","pre","cl","NA"
"3","0",8,13,9,4,0.692307692307692,"aaf","pre","cl","NA"
"4","0",11,9,5,4,0.555555555555556,"aaf","pre","cl","NA"
"5","0",14,15,12,3,0.8,"aaf","pre","cl","NA"
"6","0",17,14,5,9,0.357142857142857,"aaf","pre","cl","NA"
"7","0",20,17,13,4,0.764705882352941,"aaf","pre","cl","NA"
"8","135",3,14,7,7,0.5,"aaf","pre","cl","NA"
"9","135",5,11,6,5,0.545454545454545,"aaf","pre","cl","NA"
"10","135",8,12,7,5,0.583333333333333,"aaf","pre","cl","NA"
"11","135",11,16,9,7,0.5625,"aaf","pre","cl","NA"
"12","135",14,10,4,6,0.4,"aaf","pre","cl","NA"
"13","135",17,11,3,8,0.272727272727273,"aaf","pre","cl","NA"
"14","135",20,10,7,3,0.7,"aaf","pre","cl","NA"
"15","45",3,13,4,9,0.307692307692308,"aaf","pre","cl","NA"
"16","45",5,16,10,6,0.625,"aaf","pre","cl","NA"
"17","45",8,14,9,5,0.642857142857143,"aaf","pre","cl","NA"
"18","45",11,8,3,5,0.375,"aaf","pre","cl","NA"
"19","45",14,14,7,7,0.5,"aaf","pre","cl","NA"
"20","45",17,12,6,6,0.5,"aaf","pre","cl","NA"
"21","45",20,7,4,3,0.571428571428571,"aaf","pre","cl","NA"
"22","90",3,12,4,8,0.333333333333333,"aaf","pre","cl","NA"
"23","90",5,14,3,11,0.214285714285714,"aaf","pre","cl","NA"
"24","90",8,9,8,1,0.888888888888889,"aaf","pre","cl","NA"
"25","90",11,15,4,11,0.266666666666667,"aaf","pre","cl","NA"
"26","90",14,9,4,5,0.444444444444444,"aaf","pre","cl","NA"
"27","90",17,11,4,7,0.363636363636364,"aaf","pre","cl","NA"
"28","90",20,13,6,7,0.461538461538462,"aaf","pre","cl","NA"
"29","0",3,9,5,4,0.555555555555556,"afb","pre","rt","NA"
"30","0",5,7,6,1,0.857142857142857,"afb","pre","rt","NA"
"31","0",8,13,7,6,0.538461538461538,"afb","pre","rt","NA"
"32","0",11,9,5,4,0.555555555555556,"afb","pre","rt","NA"
"33","0",14,15,6,9,0.4,"afb","pre","rt","NA"
"34","0",17,14,5,9,0.357142857142857,"afb","pre","rt","NA"
"35","0",20,17,7,10,0.411764705882353,"afb","pre","rt","NA"
"36","135",3,14,11,3,0.785714285714286,"afb","pre","rt","NA"
"37","135",5,11,8,3,0.727272727272727,"afb","pre","rt","NA"
"38","135",8,12,7,5,0.583333333333333,"afb","pre","rt","NA"
"39","135",11,16,4,12,0.25,"afb","pre","rt","NA"
"40","135",14,10,7,3,0.7,"afb","pre","rt","NA"
"41","135",17,11,8,3,0.727272727272727,"afb","pre","rt","NA"
"42","135",20,10,7,3,0.7,"afb","pre","rt","NA"
"43","45",3,13,9,4,0.692307692307692,"afb","pre","rt","NA"
"44","45",5,16,10,6,0.625,"afb","pre","rt","NA"
"45","45",8,14,5,9,0.357142857142857,"afb","pre","rt","NA"
"46","45",11,8,5,3,0.625,"afb","pre","rt","NA"
"47","45",14,14,6,8,0.428571428571429,"afb","pre","rt","NA"
"48","45",17,12,7,5,0.583333333333333,"afb","pre","rt","NA"
"49","45",20,7,4,3,0.571428571428571,"afb","pre","rt","NA"
"50","90",3,12,9,3,0.75,"afb","pre","rt","NA"
"51","90",5,14,8,6,0.571428571428571,"afb","pre","rt","NA"
"52","90",8,9,4,5,0.444444444444444,"afb","pre","rt","NA"
"53","90",11,15,5,10,0.333333333333333,"afb","pre","rt","NA"
"54","90",14,9,4,5,0.444444444444444,"afb","pre","rt","NA"
"55","90",17,11,5,6,0.454545454545455,"afb","pre","rt","NA"
"56","90",20,13,8,5,0.615384615384615,"afb","pre","rt","NA"
"57","0",3,9,6,3,0.666666666666667,"agm","pre","cl","NA"
"58","0",5,7,5,2,0.714285714285714,"agm","pre","cl","NA"
"59","0",8,13,8,5,0.615384615384615,"agm","pre","cl","NA"
"60","0",11,9,5,4,0.555555555555556,"agm","pre","cl","NA"
"61","0",14,15,4,11,0.266666666666667,"agm","pre","cl","NA"
"62","0",17,14,8,6,0.571428571428571,"agm","pre","cl","NA"
"63","0",20,17,9,8,0.529411764705882,"agm","pre","cl","NA"
"64","135",3,14,10,4,0.714285714285714,"agm","pre","cl","NA"
"65","135",5,11,7,4,0.636363636363636,"agm","pre","cl","NA"
"66","135",8,12,7,5,0.583333333333333,"agm","pre","cl","NA"
"67","135",11,16,10,6,0.625,"agm","pre","cl","NA"
"68","135",14,10,4,6,0.4,"agm","pre","cl","NA"
"69","135",17,11,7,4,0.636363636363636,"agm","pre","cl","NA"
"70","135",20,10,6,4,0.6,"agm","pre","cl","NA"
"71","45",3,13,9,4,0.692307692307692,"agm","pre","cl","NA"
"72","45",5,16,11,5,0.6875,"agm","pre","cl","NA"
"73","45",8,14,8,6,0.571428571428571,"agm","pre","cl","NA"
"74","45",11,8,5,3,0.625,"agm","pre","cl","NA"
"75","45",14,14,8,6,0.571428571428571,"agm","pre","cl","NA"
"76","45",17,12,4,8,0.333333333333333,"agm","pre","cl","NA"
"77","45",20,7,3,4,0.428571428571429,"agm","pre","cl","NA"
"78","90",3,12,7,5,0.583333333333333,"agm","pre","cl","NA"
"79","90",5,14,12,2,0.857142857142857,"agm","pre","cl","NA"
"80","90",8,9,6,3,0.666666666666667,"agm","pre","cl","NA"
"81","90",11,15,10,5,0.666666666666667,"agm","pre","cl","NA"
"82","90",14,9,4,5,0.444444444444444,"agm","pre","cl","NA"
"83","90",17,11,6,5,0.545454545454545,"agm","pre","cl","NA"
"84","90",20,13,7,6,0.538461538461538,"agm","pre","cl","NA"
"85","0",3,9,7,2,0.777777777777778,"cic","pre","rt","NA"
"86","0",5,7,6,1,0.857142857142857,"cic","pre","rt","NA"
"87","0",8,13,8,5,0.615384615384615,"cic","pre","rt","NA"
"88","0",11,9,3,6,0.333333333333333,"cic","pre","rt","NA"
"89","0",14,15,6,9,0.4,"cic","pre","rt","NA"
"90","0",17,14,5,9,0.357142857142857,"cic","pre","rt","NA"
"91","0",20,17,10,7,0.588235294117647,"cic","pre","rt","NA"
"92","135",3,14,10,4,0.714285714285714,"cic","pre","rt","NA"
"93","135",5,11,2,9,0.181818181818182,"cic","pre","rt","NA"
"94","135",8,12,7,5,0.583333333333333,"cic","pre","rt","NA"
"95","135",11,16,7,9,0.4375,"cic","pre","rt","NA"
"96","135",14,10,5,5,0.5,"cic","pre","rt","NA"
"97","135",17,11,6,5,0.545454545454545,"cic","pre","rt","NA"
"98","135",20,10,5,5,0.5,"cic","pre","rt","NA"
"99","45",3,13,10,3,0.769230769230769,"cic","pre","rt","NA"
"100","45",5,16,8,8,0.5,"cic","pre","rt","NA"
"101","45",8,14,8,6,0.571428571428571,"cic","pre","rt","NA"
"102","45",11,8,5,3,0.625,"cic","pre","rt","NA"
"103","45",14,14,9,5,0.642857142857143,"cic","pre","rt","NA"
"104","45",17,12,8,4,0.666666666666667,"cic","pre","rt","NA"
"105","45",20,7,2,5,0.285714285714286,"cic","pre","rt","NA"
"106","90",3,12,8,4,0.666666666666667,"cic","pre","rt","NA"
"107","90",5,14,9,5,0.642857142857143,"cic","pre","rt","NA"
"108","90",8,9,6,3,0.666666666666667,"cic","pre","rt","NA"
"109","90",11,15,7,8,0.466666666666667,"cic","pre","rt","NA"
"110","90",14,9,6,3,0.666666666666667,"cic","pre","rt","NA"
"111","90",17,11,5,6,0.454545454545455,"cic","pre","rt","NA"
"112","90",20,13,8,5,0.615384615384615,"cic","pre","rt","NA"
"113","0",3,9,6,3,0.666666666666667,"jjr","pre","lt","NA"
"114","0",5,7,4,3,0.571428571428571,"jjr","pre","lt","NA"
"115","0",8,13,9,4,0.692307692307692,"jjr","pre","lt","NA"
"116","0",11,9,5,4,0.555555555555556,"jjr","pre","lt","NA"
"117","0",14,15,9,6,0.6,"jjr","pre","lt","NA"
"118","0",17,14,4,10,0.285714285714286,"jjr","pre","lt","NA"
"119","0",20,17,11,6,0.647058823529412,"jjr","pre","lt","NA"
"120","135",3,14,9,5,0.642857142857143,"jjr","pre","lt","NA"
"121","135",5,11,9,2,0.818181818181818,"jjr","pre","lt","NA"
"122","135",8,12,5,7,0.416666666666667,"jjr","pre","lt","NA"
"123","135",11,16,6,10,0.375,"jjr","pre","lt","NA"
"124","135",14,10,3,7,0.3,"jjr","pre","lt","NA"
"125","135",17,11,4,7,0.363636363636364,"jjr","pre","lt","NA"
"126","135",20,10,5,5,0.5,"jjr","pre","lt","NA"
"127","45",3,13,6,7,0.461538461538462,"jjr","pre","lt","NA"
"128","45",5,16,12,4,0.75,"jjr","pre","lt","NA"
"129","45",8,14,9,5,0.642857142857143,"jjr","pre","lt","NA"
"130","45",11,8,4,4,0.5,"jjr","pre","lt","NA"
"131","45",14,14,8,6,0.571428571428571,"jjr","pre","lt","NA"
"132","45",17,12,7,5,0.583333333333333,"jjr","pre","lt","NA"
"133","45",20,7,3,4,0.428571428571429,"jjr","pre","lt","NA"
"134","90",3,12,8,4,0.666666666666667,"jjr","pre","lt","NA"
"135","90",5,14,11,3,0.785714285714286,"jjr","pre","lt","NA"
"136","90",8,9,1,8,0.111111111111111,"jjr","pre","lt","NA"
"137","90",11,15,7,8,0.466666666666667,"jjr","pre","lt","NA"
"138","90",14,9,4,5,0.444444444444444,"jjr","pre","lt","NA"
"139","90",17,11,7,4,0.636363636363636,"jjr","pre","lt","NA"
"140","90",20,13,6,7,0.461538461538462,"jjr","pre","lt","NA"
"141","0",3,9,5,4,0.555555555555556,"lrc","pre","cl","NA"
"142","0",5,7,5,2,0.714285714285714,"lrc","pre","cl","NA"
