"","Cantidad_TGC_1","Cantidad_TGC_2","Respuesta_A","Respuesta_B","Direccion","Separacion","correctas_A","correctas_B","correctas"
"1","1","0","1","1","90",11,1,0,0
"2","2","1","3","2","45",20,0,0,0
"3","0","1","3","2","0",14,0,0,0
"4","1","1","2","1","45",8,0,1,0
"5","1","1","2","2","135",11,0,0,0
"6","0","1","1","2","0",17,0,0,0
"7","1","2","2","2","135",11,0,1,0
"8","0","1","2","2","135",5,0,0,0
"9","1","1","2","3","45",14,0,0,0
"10","1","1","1","2","0",5,1,0,0
"11","1","1","0","1","90",17,0,1,0
"12","1","0","2","2","90",5,0,0,0
"13","0","2","2","2","45",20,0,1,0
"14","1","0","2","2","135",14,0,0,0
"15","1","0","2","2","135",5,0,0,0
"16","0","2","2","2","0",17,0,1,0
"17","1","2","2","1","45",8,0,0,0
"18","1","0","0","2","0",20,0,0,0
"19","2","0","0","0","135",5,0,1,0
"20","2","1","2","2","90",11,1,0,0
"21","0","0","0","0","45",8,1,1,1
"22","0","1","1","1","90",17,0,1,0
"23","1","2","1","1","45",20,1,0,0
"24","1","2","1","2","90",8,1,1,1
"25","1","1","2","1","135",17,0,1,0
"26","0","1","1","1","90",20,0,1,0
"27","1","1","0","1","0",14,0,1,0
"28","0","0","1","0","0",3,0,1,0
"29","1","1","2","1","45",14,0,1,0
"30","0","1","1","1","90",5,0,1,0
"31","3","1","2","2","45",14,0,0,0
"32","0","0","2","2","0",14,0,0,0
"33","1","1","1","2","135",17,1,0,0
"34","0","2","0","2","0",14,1,1,1
"35","1","0","1","0","90",8,1,1,1
"36","3","0","1","0","135",3,0,1,0
"37","1","2","1","0","135",17,1,0,0
"38","1","2","1","1","135",14,1,0,0
"39","1","1","0","0","90",20,0,0,0
"40","1","2","1","1","135",11,1,0,0
"41","1","1","1","1","90",8,1,1,1
"42","1","0","1","0","135",5,1,1,1
"43","1","0","1","0","45",14,1,1,1
"44","2","1","1","2","135",8,0,0,0
"45","2","1","1","1","135",14,0,1,0
"46","0","1","0","1","0",20,1,1,1
"47","1","2","1","2","135",11,1,1,1
"48","0","1","1","0","135",8,0,0,0
"49","0","2","0","2","135",17,1,1,1
"50","1","1","0","1","90",20,0,1,0
"51","1","1","1","1","0",3,1,1,1
"52","0","0","1","0","45",11,0,1,0
"53","1","1","1","1","90",3,1,1,1
"54","1","2","1","1","90",5,1,0,0
"55","3","0","2","0","0",3,0,1,0
"56","1","1","1","1","45",5,1,1,1
"57","1","0","1","1","0",14,1,0,0
"58","0","2","1","1","90",11,0,0,0
"59","0","1","0","1","135",11,1,1,1
"60","1","1","1","1","135",20,1,1,1
"61","2","0","1","0","45",5,0,1,0
"62","1","0","1","1","45",11,1,0,0
"63","2","0","0","1","0",17,0,0,0
"64","3","2","1","1","0",14,0,0,0
"65","0","2","0","2","90",3,1,1,1
"66","1","1","0","2","45",5,0,0,0
"67","2","1","2","1","0",8,1,1,1
"68","2","1","1","1","135",8,0,1,0
"69","3","1","2","1","0",17,0,1,0
"70","1","0","1","0","135",3,1,1,1
"71","1","2","0","1","135",20,0,0,0
"72","1","0","0","2","0",20,0,0,0
"73","0","1","0","1","135",11,1,1,1
"74","2","0","1","0","90",3,0,1,0
"75","1","1","0","1","90",3,0,1,0
"76","1","0","1","2","135",20,1,0,0
"77","2","3","2","2","0",20,1,0,0
"78","1","0","1","0","90",8,1,1,1
"79","1","1","1","2","0",20,1,0,0
"80","1","1","0","1","45",5,0,1,0
"81","1","0","1","0","45",5,1,1,1
"82","1","2","0","2","90",14,0,1,0
"83","0","1","0","1","0",20,1,1,1
"84","0","2","0","0","90",17,1,0,0
"85","2","3","2","2","135",11,1,0,0
"86","2","0","2","0","45",5,1,1,1
"87","3","2","1","2","90",5,0,1,0
"88","0","2","0","1","45",17,1,0,0
"89","2","1","1","1","45",20,0,1,0
"90","1","1","1","0","135",17,1,0,0
"91","1","2","1","1","45",11,1,0,0
"92","2","0","1","1","45",14,0,0,0
"93","2","1","1","1","0",8,0,1,0
"94","2","2","1","1","0",11,0,0,0
"95","1","0","1","0","45",3,1,1,1
"96","1","2","2","2","135",17,0,1,0
"97","2","1","1","2","45",3,0,0,0
"98","1","0","2","0","90",5,0,1,0
"99","1","2","1","2","45",11,1,1,1
"100","0","1","1","1","90",5,0,1,0
"101","0","1","0","2","0",14,1,0,0
"102","0","1","1","2","90",17,0,0,0
"103","1","1","1","2","45",11,1,0,0
"104","1","2","0","2","90",11,0,1,0
"105","1","0","1","0","45",8,1,1,1
"106","0","1","0","1","0",8,1,1,1
"107","1","1","0","1","135",11,0,1,0
"108","2","1","2","1","135",5,1,1,1
"109","2","0","2","0","0",11,1,1,1
"110","0","0","1","0","90",11,0,1,0
"111","2","1","1","1","45",3,0,1,0
"112","0","1","0","0","45",14,1,0,0
"113","1","1","1","1","45",5,1,1,1
"114","2","2","1","2","90",3,0,1,0
"115","0","1","0","1","135",3,1,1,1
"116","0","1","0","1","0",5,1,1,1
"117","1","3","0","3","45",3,0,1,0
"118","1","1","1","1","135",5,1,1,1
"119","2","0","1","1","0",11,0,0,0
"120","3","3","1","1","90",14,0,0,0
"121","1","0","0","1","0",17,0,0,0
"122","1","1","2","1","135",17,0,1,0
"123","0","0","1","0","90",8,0,1,0
"124","1","3","1","1","90",14,1,0,0
"125","0","3","2","1","90",20,0,0,0
"126","2","0","0","1","45",17,0,0,0
"127","2","2","2","1","0",11,1,0,0
"128","1","1","0","0","45",17,0,0,0
"129","1","1","1","1","45",8,1,1,1
"130","2","1","1","1","45",5,0,1,0
"131","1","1","0","1","135",5,0,1,0
"132","0","0","0","1","45",14,1,0,0
"133","1","2","1","0","45",17,1,0,0
"134","0","3","0","1","135",14,1,0,0
"135","2","1","2","1","0",8,1,1,1
"136","2","1","1","2","135",8,0,0,0
"137","0","0","1","0","45",5,0,1,0
"138","3","0","1","0","135",3,0,1,0
"139","2","1","1","1","90",20,0,1,0
"140","1","1","0","1","0",5,0,1,0
"141","2","1","1","1","90",5,0,1,0
"142","0","1","1","1","90",5,0,1,0
"143","1","0","1","0","90",11,1,1,1
"144","0","2","1","0","135",20,0,0,0
"145","1","1","1","1","0",5,1,1,1
"146","1","1","1","1","135",3,1,1,1
"147","0","1","1","1","45",8,0,1,0
"148","0","0","0","2","0",20,1,0,0
"149","2","1","1","1","90",14,0,1,0
"150","1","1","1","0","135",14,1,0,0
"151","2","1","0","1","90",11,0,1,0
"152","2","2","1","2","90",3,0,1,0
"153","1","0","1","0","90",14,1,1,1
"154","1","1","1","1","135",14,1,1,1
"155","2","1","1","1","135",11,0,1,0
"156","0","0","1","0","45",3,0,1,0
"157","1","1","0","1","45",11,0,1,0
"158","1","3","1","2","0",8,1,0,0
"159","0","1","0","1","135",8,1,1,1
"160","1","1","1","1","135",11,1,1,1
"161","0","3","0","1","135",8,1,0,0
"162","2","0","1","0","45",3,0,1,0
"163","2","2","1","2","0",3,0,1,0
"164","2","1","1","0","90",20,0,0,0
"165","3","2","1","2","90",20,0,1,0
"166","1","0","1","0","135",11,1,1,1
"167","0","1","0","1","45",3,1,1,1
"168","2","0","1","0","90",11,0,1,0
"169","1","2","0","2","90",3,0,1,0
"170","2","0","2","0","0",3,1,1,1
"171","0","1","2","0","135",11,0,0,0
"172","1","1","1","1","90",5,1,1,1
"173","0","1","0","1","90",14,1,1,1
"174","2","1","1","1","90",11,0,1,0
"175","0","0","1","0","135",8,0,1,0
"176","1","2","0","2","0",3,0,1,0
"177","2","0","1","0","45",14,0,1,0
"178","3","0","1","0","135",11,0,1,0
"179","0","1","1","0","135",14,0,0,0
"180","1","2","1","2","0",5,1,1,1
"181","2","1","1","2","0",20,0,0,0
"182","0","2","1","2","90",5,0,1,0
"183","1","1","2","0","135",11,0,0,0
"184","2","0","1","0","0",11,0,1,0
"185","1","2","2","0","135",20,0,0,0
"186","1","0","1","0","0",14,1,1,1
"187","1","1","2","1","135",5,0,1,0
"188","1","0","1","0","135",8,1,1,1
"189","3","0","1","1","0",20,0,0,0
"190","2","2","2","2","90",11,1,1,1
"191","0","0","2","0","135",5,0,1,0
"192","1","3","0","3","90",11,0,1,0
"193","1","0","2","0","135",8,0,1,0
"194","1","0","1","0","45",5,1,1,1
"195","0","1","0","2","0",11,1,0,0
"196","0","0","0","1","0",17,1,0,0
"197","1","0","1","0","45",11,1,1,1
"198","0","2","0","2","135",5,1,1,1
"199","1","1","1","0","45",17,1,0,0
"200","1","0","1","0","90",8,1,1,1
"201","0","1","0","2","90",11,1,0,0
"202","1","3","0","3","45",3,0,1,0
"203","1","0","2","0","90",17,0,1,0
"204","1","1","0","2","45",11,0,0,0
"205","1","0","2","1","0",20,0,0,0
"206","1","2","0","2","45",5,0,1,0
"207","1","0","1","0","90",8,1,1,1
"208","0","4","1","1","90",20,0,0,0
"209","1","0","1","0","45",14,1,1,1
"210","0","0","0","2","0",8,1,0,0
"211","0","1","1","0","135",20,0,0,0
"212","2","1","1","1","135",14,0,1,0
"213","1","0","0","1","45",8,0,0,0
"214","1","2","0","1","0",20,0,0,0
"215","1","2","0","2","0",17,0,1,0
"216","0","0","2","0","135",3,0,1,0
"217","1","2","0","2","90",17,0,1,0
"218","2","1","2","0","45",8,1,0,0
"219","2","0","2","0","0",11,1,1,1
"220","2","1","2","0","135",20,1,0,0
"221","1","1","1","1","135",11,1,1,1
"222","0","1","0","2","0",3,1,0,0
"223","3","2","3","2","0",14,1,1,1
"224","0","3","1","2","0",17,0,0,0
"225","2","1","1","2","0",11,0,0,0
"226","1","1","1","1","90",5,1,1,1
"227","1","0","1","0","0",14,1,1,1
"228","0","2","0","2","0",8,1,1,1
"229","2","3","1","3","135",3,0,1,0
"230","1","1","1","0","135",17,1,0,0
"231","2","0","2","0","45",5,1,1,1
"232","1","0","0","2","0",20,0,0,0
"233","1","0","0","2","0",20,0,0,0
"234","1","1","0","1","0",17,0,1,0
"235","2","2","2","1","90",11,1,0,0
"236","1","0","0","0","135",17,0,1,0
"237","3","1","0","1","90",5,0,1,0
"238","0","0","1","1","0",20,0,0,0
"239","3","2","0","2","45",17,0,1,0
"240","0","1","2","1","45",3,0,1,0
"241","0","1","2","1","90",20,0,1,0
"242","1","1","1","1","45",8,1,1,1
"243","0","2","0","2","0",14,1,1,1
"244","2","1","2","0","45",17,1,0,0
"245","1","0","1","0","45",17,1,1,1
"246","1","0","1","0","90",17,1,1,1
"247","0","1","0","2","45",5,1,0,0
"248","2","1","0","1","90",14,0,1,0
"249","1","1","0","2","45",20,0,0,0
"250","2","1","2","0","0",5,1,0,0
"251","1","0","1","0","135",3,1,1,1
"252","1","1","1","1","45",8,1,1,1
"253","3","1","1","1","90",5,0,1,0
"254","0","1","0","1","45",8,1,1,1
"255","1","1","0","0","90",20,0,0,0
"256","1","1","1","1","135",14,1,1,1
"257","2","1","1","1","135",5,0,1,0
"258","0","1","1","1","45",14,0,1,0
"259","3","1","1","1","45",3,0,1,0
"260","1","1","0","1","0",17,0,1,0
"261","0","1","0","1","0",14,1,1,1
"262","1","1","0","1","90",20,0,1,0
"263","0","0","0","2","45",17,1,0,0
"264","1","2","0","2","135",20,0,1,0
"265","0","2","0","2","135",3,1,1,1
"266","0","0","2","1","135",17,0,0,0
"267","0","1","0","2","45",8,1,0,0
"268","0","3","0","3","90",8,1,1,1
"269","1","1","0","1","90",3,0,1,0
"270","2","1","1","1","90",14,0,1,0
"271","0","1","2","1","135",3,0,1,0
"272","0","1","1","1","0",8,0,1,0
"273","0","1","1","1","90",3,0,1,0
"274","2","2","1","2","0",3,0,1,0
"275","1","2","1","2","0",14,1,1,1
"276","1","0","2","1","0",8,0,0,0
"277","1","1","1","1","135",3,1,1,1
"278","1","1","1","1","90",11,1,1,1
"279","2","0","1","1","90",17,0,0,0
"280","0","2","0","1","0",20,1,0,0
"281","2","1","0","1","135",11,0,1,0
"282","2","3","1","3","45",3,0,1,0
"283","2","0","1","0","135",3,0,1,0
"284","0","2","1","2","45",3,0,1,0
"285","1","1","0","1","90",20,0,1,0
"286","1","0","0","1","90",20,0,0,0
"287","2","1","2","1","90",3,1,1,1
"288","0","0","1","0","90",5,0,1,0
"289","1","1","0","2","0",20,0,0,0
"290","2","1","1","1","135",8,0,1,0
"291","0","1","0","1","45",5,1,1,1
"292","0","1","0","2","0",11,1,0,0
"293","0","2","0","2","90",17,1,1,1
"294","0","2","1","2","45",14,0,1,0
"295","0","1","0","2","0",17,1,0,0
"296","1","1","0","2","0",8,0,0,0
"297","1","1","1","1","0",14,1,1,1
"298","1","0","0","1","45",20,0,0,0
"299","3","0","2","0","0",3,0,1,0
"300","0","1","0","1","135",17,1,1,1
"301","0","0","1","0","0",17,0,1,0
"302","0","2","0","2","0",8,1,1,1
"303","1","0","1","1","45",14,1,0,0
"304","1","0","1","0","135",20,1,1,1
"305","0","2","1","2","90",17,0,1,0
"306","2","0","2","0","45",3,1,1,1
