"","Cantidad_TGC_1","Cantidad_TGC_2","correctas","(n = n())"
"1","0","0",0,415
"2","0","0",1,319
"3","0","1",0,599
"4","0","1",1,887
"5","0","2",0,371
"6","0","2",1,275
"7","0","3",0,111
"8","0","3",1,46
"9","0","4",0,28
"10","0","4",1,2
"11","1","0",0,609
"12","1","0",1,868
"13","1","1",0,1058
"14","1","1",1,901
"15","1","2",0,440
"16","1","2",1,393
"17","1","3",0,76
"18","1","3",1,81
"19","2","0",0,350
"20","2","0",1,273
"21","2","1",0,508
"22","2","1",1,556
"23","2","2",0,158
"24","2","2",1,82
"25","2","3",0,95
"26","2","3",1,32
"27","3","0",0,123
"28","3","0",1,57
"29","3","1",0,87
"30","3","1",1,63
"31","3","2",0,123
"32","3","2",1,27
"33","3","3",0,30
"34","4","1",0,7
