"","Direccion","Separacion","n","nYes","nNo","p","observadores","condicion","grupo"
"1","0",3,9,2,7,0.222222222222222,"aaf","pre","cl"
"2","0",5,7,4,3,0.571428571428571,"aaf","pre","cl"
"3","0",8,13,6,7,0.461538461538462,"aaf","pre","cl"
"4","0",11,9,2,7,0.222222222222222,"aaf","pre","cl"
"5","0",14,15,9,6,0.6,"aaf","pre","cl"
"6","0",17,14,0,14,0,"aaf","pre","cl"
"7","0",20,17,2,15,0.117647058823529,"aaf","pre","cl"
"8","135",3,14,7,7,0.5,"aaf","pre","cl"
"9","135",5,11,4,7,0.363636363636364,"aaf","pre","cl"
"10","135",8,12,4,8,0.333333333333333,"aaf","pre","cl"
"11","135",11,16,6,10,0.375,"aaf","pre","cl"
"12","135",14,10,2,8,0.2,"aaf","pre","cl"
"13","135",17,11,2,9,0.181818181818182,"aaf","pre","cl"
"14","135",20,10,2,8,0.2,"aaf","pre","cl"
"15","45",3,13,3,10,0.230769230769231,"aaf","pre","cl"
"16","45",5,16,9,7,0.5625,"aaf","pre","cl"
"17","45",8,14,7,7,0.5,"aaf","pre","cl"
"18","45",11,8,2,6,0.25,"aaf","pre","cl"
"19","45",14,14,3,11,0.214285714285714,"aaf","pre","cl"
"20","45",17,12,3,9,0.25,"aaf","pre","cl"
"21","45",20,7,1,6,0.142857142857143,"aaf","pre","cl"
"22","90",3,12,4,8,0.333333333333333,"aaf","pre","cl"
"23","90",5,14,2,12,0.142857142857143,"aaf","pre","cl"
"24","90",8,9,8,1,0.888888888888889,"aaf","pre","cl"
"25","90",11,15,3,12,0.2,"aaf","pre","cl"
"26","90",14,9,3,6,0.333333333333333,"aaf","pre","cl"
"27","90",17,11,2,9,0.181818181818182,"aaf","pre","cl"
"28","90",20,13,0,13,0,"aaf","pre","cl"
"29","0",3,9,5,4,0.555555555555556,"afb","pre","rt"
"30","0",5,7,6,1,0.857142857142857,"afb","pre","rt"
"31","0",8,13,7,6,0.538461538461538,"afb","pre","rt"
"32","0",11,9,5,4,0.555555555555556,"afb","pre","rt"
"33","0",14,15,3,12,0.2,"afb","pre","rt"
"34","0",17,14,3,11,0.214285714285714,"afb","pre","rt"
"35","0",20,17,4,13,0.235294117647059,"afb","pre","rt"
"36","135",3,14,11,3,0.785714285714286,"afb","pre","rt"
"37","135",5,11,8,3,0.727272727272727,"afb","pre","rt"
"38","135",8,12,7,5,0.583333333333333,"afb","pre","rt"
"39","135",11,16,2,14,0.125,"afb","pre","rt"
"40","135",14,10,5,5,0.5,"afb","pre","rt"
"41","135",17,11,6,5,0.545454545454545,"afb","pre","rt"
"42","135",20,10,5,5,0.5,"afb","pre","rt"
"43","45",3,13,9,4,0.692307692307692,"afb","pre","rt"
"44","45",5,16,10,6,0.625,"afb","pre","rt"
"45","45",8,14,5,9,0.357142857142857,"afb","pre","rt"
"46","45",11,8,4,4,0.5,"afb","pre","rt"
"47","45",14,14,6,8,0.428571428571429,"afb","pre","rt"
"48","45",17,12,5,7,0.416666666666667,"afb","pre","rt"
"49","45",20,7,3,4,0.428571428571429,"afb","pre","rt"
"50","90",3,12,9,3,0.75,"afb","pre","rt"
"51","90",5,14,7,7,0.5,"afb","pre","rt"
"52","90",8,9,4,5,0.444444444444444,"afb","pre","rt"
"53","90",11,15,3,12,0.2,"afb","pre","rt"
"54","90",14,9,1,8,0.111111111111111,"afb","pre","rt"
"55","90",17,11,3,8,0.272727272727273,"afb","pre","rt"
"56","90",20,13,2,11,0.153846153846154,"afb","pre","rt"
"57","0",3,9,6,3,0.666666666666667,"agm","pre","cl"
"58","0",5,7,5,2,0.714285714285714,"agm","pre","cl"
"59","0",8,13,8,5,0.615384615384615,"agm","pre","cl"
"60","0",11,9,4,5,0.444444444444444,"agm","pre","cl"
"61","0",14,15,4,11,0.266666666666667,"agm","pre","cl"
"62","0",17,14,4,10,0.285714285714286,"agm","pre","cl"
"63","0",20,17,6,11,0.352941176470588,"agm","pre","cl"
"64","135",3,14,9,5,0.642857142857143,"agm","pre","cl"
"65","135",5,11,7,4,0.636363636363636,"agm","pre","cl"
"66","135",8,12,5,7,0.416666666666667,"agm","pre","cl"
"67","135",11,16,8,8,0.5,"agm","pre","cl"
"68","135",14,10,2,8,0.2,"agm","pre","cl"
"69","135",17,11,2,9,0.181818181818182,"agm","pre","cl"
"70","135",20,10,3,7,0.3,"agm","pre","cl"
"71","45",3,13,9,4,0.692307692307692,"agm","pre","cl"
"72","45",5,16,11,5,0.6875,"agm","pre","cl"
"73","45",8,14,7,7,0.5,"agm","pre","cl"
"74","45",11,8,5,3,0.625,"agm","pre","cl"
"75","45",14,14,7,7,0.5,"agm","pre","cl"
"76","45",17,12,1,11,0.0833333333333333,"agm","pre","cl"
"77","45",20,7,1,6,0.142857142857143,"agm","pre","cl"
"78","90",3,12,7,5,0.583333333333333,"agm","pre","cl"
"79","90",5,14,11,3,0.785714285714286,"agm","pre","cl"
"80","90",8,9,4,5,0.444444444444444,"agm","pre","cl"
"81","90",11,15,5,10,0.333333333333333,"agm","pre","cl"
"82","90",14,9,1,8,0.111111111111111,"agm","pre","cl"
"83","90",17,11,2,9,0.181818181818182,"agm","pre","cl"
"84","90",20,13,2,11,0.153846153846154,"agm","pre","cl"
"85","0",3,9,7,2,0.777777777777778,"cic","pre","rt"
"86","0",5,7,5,2,0.714285714285714,"cic","pre","rt"
"87","0",8,13,8,5,0.615384615384615,"cic","pre","rt"
"88","0",11,9,3,6,0.333333333333333,"cic","pre","rt"
"89","0",14,15,5,10,0.333333333333333,"cic","pre","rt"
"90","0",17,14,2,12,0.142857142857143,"cic","pre","rt"
"91","0",20,17,6,11,0.352941176470588,"cic","pre","rt"
"92","135",3,14,9,5,0.642857142857143,"cic","pre","rt"
"93","135",5,11,2,9,0.181818181818182,"cic","pre","rt"
"94","135",8,12,7,5,0.583333333333333,"cic","pre","rt"
"95","135",11,16,4,12,0.25,"cic","pre","rt"
"96","135",14,10,2,8,0.2,"cic","pre","rt"
"97","135",17,11,2,9,0.181818181818182,"cic","pre","rt"
"98","135",20,10,2,8,0.2,"cic","pre","rt"
"99","45",3,13,10,3,0.769230769230769,"cic","pre","rt"
"100","45",5,16,7,9,0.4375,"cic","pre","rt"
"101","45",8,14,7,7,0.5,"cic","pre","rt"
"102","45",11,8,3,5,0.375,"cic","pre","rt"
"103","45",14,14,6,8,0.428571428571429,"cic","pre","rt"
"104","45",17,12,3,9,0.25,"cic","pre","rt"
"105","45",20,7,2,5,0.285714285714286,"cic","pre","rt"
"106","90",3,12,8,4,0.666666666666667,"cic","pre","rt"
"107","90",5,14,9,5,0.642857142857143,"cic","pre","rt"
"108","90",8,9,6,3,0.666666666666667,"cic","pre","rt"
"109","90",11,15,5,10,0.333333333333333,"cic","pre","rt"
"110","90",14,9,5,4,0.555555555555556,"cic","pre","rt"
"111","90",17,11,4,7,0.363636363636364,"cic","pre","rt"
"112","90",20,13,1,12,0.0769230769230769,"cic","pre","rt"
"113","0",3,9,5,4,0.555555555555556,"jjr","pre","lt"
"114","0",5,7,4,3,0.571428571428571,"jjr","pre","lt"
"115","0",8,13,9,4,0.692307692307692,"jjr","pre","lt"
"116","0",11,9,4,5,0.444444444444444,"jjr","pre","lt"
"117","0",14,15,6,9,0.4,"jjr","pre","lt"
"118","0",17,14,1,13,0.0714285714285714,"jjr","pre","lt"
"119","0",20,17,3,14,0.176470588235294,"jjr","pre","lt"
"120","135",3,14,8,6,0.571428571428571,"jjr","pre","lt"
"121","135",5,11,9,2,0.818181818181818,"jjr","pre","lt"
"122","135",8,12,3,9,0.25,"jjr","pre","lt"
"123","135",11,16,4,12,0.25,"jjr","pre","lt"
"124","135",14,10,3,7,0.3,"jjr","pre","lt"
"125","135",17,11,1,10,0.0909090909090909,"jjr","pre","lt"
"126","135",20,10,1,9,0.1,"jjr","pre","lt"
"127","45",3,13,6,7,0.461538461538462,"jjr","pre","lt"
"128","45",5,16,12,4,0.75,"jjr","pre","lt"
"129","45",8,14,9,5,0.642857142857143,"jjr","pre","lt"
"130","45",11,8,4,4,0.5,"jjr","pre","lt"
"131","45",14,14,6,8,0.428571428571429,"jjr","pre","lt"
"132","45",17,12,6,6,0.5,"jjr","pre","lt"
"133","45",20,7,0,7,0,"jjr","pre","lt"
"134","90",3,12,5,7,0.416666666666667,"jjr","pre","lt"
"135","90",5,14,9,5,0.642857142857143,"jjr","pre","lt"
"136","90",8,9,0,9,0,"jjr","pre","lt"
"137","90",11,15,5,10,0.333333333333333,"jjr","pre","lt"
"138","90",14,9,3,6,0.333333333333333,"jjr","pre","lt"
"139","90",17,11,4,7,0.363636363636364,"jjr","pre","lt"
"140","90",20,13,2,11,0.153846153846154,"jjr","pre","lt"
"141","0",3,9,5,4,0.555555555555556,"lrc","pre","cl"
"142","0",5,7,5,2,0.714285714285714,"lrc","pre","cl"
"143","0",8,13,9,4,0.692307692307692,"lrc","pre","cl"
"144","0",11,9,4,5,0.444444444444444,"lrc","pre","cl"
"145","0",14,15,5,10,0.333333333333333,"lrc","pre","cl"
"146","0",17,14,2,12,0.142857142857143,"lrc","pre","cl"
"147","0",20,17,2,15,0.117647058823529,"lrc","pre","cl"
"148","135",3,14,10,4,0.714285714285714,"lrc","pre","cl"
"149","135",5,11,7,4,0.636363636363636,"lrc","pre","cl"
