"","Direccion","Separacion","n","nYes","nNo","p","condicion","observadores","grupo"
"1","0",3,9,2,7,0.222222222222222,"pre","aaf","cl"
"2","0",5,7,4,3,0.571428571428571,"pre","aaf","cl"
"3","0",8,12,6,6,0.5,"pre","aaf","cl"
"4","0",11,9,2,7,0.222222222222222,"pre","aaf","cl"
"5","0",14,14,9,5,0.642857142857143,"pre","aaf","cl"
"6","0",17,14,0,14,0,"pre","aaf","cl"
"7","0",20,17,2,15,0.117647058823529,"pre","aaf","cl"
"8","135",3,14,7,7,0.5,"pre","aaf","cl"
"9","135",5,10,4,6,0.4,"pre","aaf","cl"
"10","135",8,12,4,8,0.333333333333333,"pre","aaf","cl"
"11","135",11,15,6,9,0.4,"pre","aaf","cl"
"12","135",14,8,2,6,0.25,"pre","aaf","cl"
"13","135",17,10,2,8,0.2,"pre","aaf","cl"
"14","135",20,10,2,8,0.2,"pre","aaf","cl"
"15","45",3,11,3,8,0.272727272727273,"pre","aaf","cl"
"16","45",5,14,8,6,0.571428571428571,"pre","aaf","cl"
"17","45",8,14,7,7,0.5,"pre","aaf","cl"
"18","45",11,6,2,4,0.333333333333333,"pre","aaf","cl"
"19","45",14,13,3,10,0.230769230769231,"pre","aaf","cl"
"20","45",17,12,3,9,0.25,"pre","aaf","cl"
"21","45",20,6,1,5,0.166666666666667,"pre","aaf","cl"
"22","90",3,10,3,7,0.3,"pre","aaf","cl"
"23","90",5,14,2,12,0.142857142857143,"pre","aaf","cl"
"24","90",8,8,7,1,0.875,"pre","aaf","cl"
"25","90",11,15,3,12,0.2,"pre","aaf","cl"
"26","90",14,8,3,5,0.375,"pre","aaf","cl"
"27","90",17,10,2,8,0.2,"pre","aaf","cl"
"28","90",20,13,0,13,0,"pre","aaf","cl"
"29","0",3,9,5,4,0.555555555555556,"pre","afb","rt"
"30","0",5,7,6,1,0.857142857142857,"pre","afb","rt"
"31","0",8,13,7,6,0.538461538461538,"pre","afb","rt"
"32","0",11,9,5,4,0.555555555555556,"pre","afb","rt"
"33","0",14,15,3,12,0.2,"pre","afb","rt"
"34","0",17,14,3,11,0.214285714285714,"pre","afb","rt"
"35","0",20,17,4,13,0.235294117647059,"pre","afb","rt"
"36","135",3,14,11,3,0.785714285714286,"pre","afb","rt"
"37","135",5,11,8,3,0.727272727272727,"pre","afb","rt"
"38","135",8,12,7,5,0.583333333333333,"pre","afb","rt"
"39","135",11,16,2,14,0.125,"pre","afb","rt"
"40","135",14,10,5,5,0.5,"pre","afb","rt"
"41","135",17,11,6,5,0.545454545454545,"pre","afb","rt"
"42","135",20,10,5,5,0.5,"pre","afb","rt"
"43","45",3,13,9,4,0.692307692307692,"pre","afb","rt"
"44","45",5,16,10,6,0.625,"pre","afb","rt"
"45","45",8,14,5,9,0.357142857142857,"pre","afb","rt"
"46","45",11,8,4,4,0.5,"pre","afb","rt"
"47","45",14,14,6,8,0.428571428571429,"pre","afb","rt"
"48","45",17,12,5,7,0.416666666666667,"pre","afb","rt"
"49","45",20,7,3,4,0.428571428571429,"pre","afb","rt"
"50","90",3,11,9,2,0.818181818181818,"pre","afb","rt"
"51","90",5,14,7,7,0.5,"pre","afb","rt"
"52","90",8,9,4,5,0.444444444444444,"pre","afb","rt"
"53","90",11,15,3,12,0.2,"pre","afb","rt"
"54","90",14,9,1,8,0.111111111111111,"pre","afb","rt"
"55","90",17,11,3,8,0.272727272727273,"pre","afb","rt"
"56","90",20,13,2,11,0.153846153846154,"pre","afb","rt"
"57","0",3,9,6,3,0.666666666666667,"pre","agm","cl"
"58","0",5,6,4,2,0.666666666666667,"pre","agm","cl"
"59","0",8,12,8,4,0.666666666666667,"pre","agm","cl"
"60","0",11,7,3,4,0.428571428571429,"pre","agm","cl"
"61","0",14,12,3,9,0.25,"pre","agm","cl"
"62","0",17,13,3,10,0.230769230769231,"pre","agm","cl"
"63","0",20,17,6,11,0.352941176470588,"pre","agm","cl"
"64","135",3,12,7,5,0.583333333333333,"pre","agm","cl"
"65","135",5,10,6,4,0.6,"pre","agm","cl"
"66","135",8,12,5,7,0.416666666666667,"pre","agm","cl"
"67","135",11,14,6,8,0.428571428571429,"pre","agm","cl"
"68","135",14,9,1,8,0.111111111111111,"pre","agm","cl"
"69","135",17,10,2,8,0.2,"pre","agm","cl"
"70","135",20,9,3,6,0.333333333333333,"pre","agm","cl"
"71","45",3,12,8,4,0.666666666666667,"pre","agm","cl"
"72","45",5,15,10,5,0.666666666666667,"pre","agm","cl"
"73","45",8,12,6,6,0.5,"pre","agm","cl"
"74","45",11,8,5,3,0.625,"pre","agm","cl"
"75","45",14,12,6,6,0.5,"pre","agm","cl"
"76","45",17,7,1,6,0.142857142857143,"pre","agm","cl"
"77","45",20,7,1,6,0.142857142857143,"pre","agm","cl"
"78","90",3,9,5,4,0.555555555555556,"pre","agm","cl"
"79","90",5,14,11,3,0.785714285714286,"pre","agm","cl"
"80","90",8,7,3,4,0.428571428571429,"pre","agm","cl"
"81","90",11,13,4,9,0.307692307692308,"pre","agm","cl"
"82","90",14,9,1,8,0.111111111111111,"pre","agm","cl"
"83","90",17,10,2,8,0.2,"pre","agm","cl"
"84","90",20,10,2,8,0.2,"pre","agm","cl"
"85","0",3,9,7,2,0.777777777777778,"pre","cic","rt"
"86","0",5,7,5,2,0.714285714285714,"pre","cic","rt"
"87","0",8,13,8,5,0.615384615384615,"pre","cic","rt"
"88","0",11,9,3,6,0.333333333333333,"pre","cic","rt"
"89","0",14,15,5,10,0.333333333333333,"pre","cic","rt"
"90","0",17,14,2,12,0.142857142857143,"pre","cic","rt"
"91","0",20,17,6,11,0.352941176470588,"pre","cic","rt"
"92","135",3,14,9,5,0.642857142857143,"pre","cic","rt"
"93","135",5,11,2,9,0.181818181818182,"pre","cic","rt"
"94","135",8,12,7,5,0.583333333333333,"pre","cic","rt"
"95","135",11,16,4,12,0.25,"pre","cic","rt"
"96","135",14,10,2,8,0.2,"pre","cic","rt"
"97","135",17,10,2,8,0.2,"pre","cic","rt"
"98","135",20,10,2,8,0.2,"pre","cic","rt"
"99","45",3,13,10,3,0.769230769230769,"pre","cic","rt"
"100","45",5,16,7,9,0.4375,"pre","cic","rt"
"101","45",8,14,7,7,0.5,"pre","cic","rt"
"102","45",11,8,3,5,0.375,"pre","cic","rt"
"103","45",14,14,6,8,0.428571428571429,"pre","cic","rt"
"104","45",17,12,3,9,0.25,"pre","cic","rt"
"105","45",20,7,2,5,0.285714285714286,"pre","cic","rt"
"106","90",3,12,8,4,0.666666666666667,"pre","cic","rt"
"107","90",5,14,9,5,0.642857142857143,"pre","cic","rt"
"108","90",8,9,6,3,0.666666666666667,"pre","cic","rt"
"109","90",11,15,5,10,0.333333333333333,"pre","cic","rt"
"110","90",14,7,4,3,0.571428571428571,"pre","cic","rt"
"111","90",17,11,4,7,0.363636363636364,"pre","cic","rt"
"112","90",20,13,1,12,0.0769230769230769,"pre","cic","rt"
"113","0",3,9,5,4,0.555555555555556,"pre","jjr","lt"
"114","0",5,7,4,3,0.571428571428571,"pre","jjr","lt"
"115","0",8,13,9,4,0.692307692307692,"pre","jjr","lt"
"116","0",11,9,4,5,0.444444444444444,"pre","jjr","lt"
"117","0",14,15,6,9,0.4,"pre","jjr","lt"
"118","0",17,13,1,12,0.0769230769230769,"pre","jjr","lt"
"119","0",20,17,3,14,0.176470588235294,"pre","jjr","lt"
"120","135",3,14,8,6,0.571428571428571,"pre","jjr","lt"
"121","135",5,11,9,2,0.818181818181818,"pre","jjr","lt"
"122","135",8,12,3,9,0.25,"pre","jjr","lt"
"123","135",11,16,4,12,0.25,"pre","jjr","lt"
"124","135",14,10,3,7,0.3,"pre","jjr","lt"
"125","135",17,11,1,10,0.0909090909090909,"pre","jjr","lt"
"126","135",20,9,1,8,0.111111111111111,"pre","jjr","lt"
"127","45",3,13,6,7,0.461538461538462,"pre","jjr","lt"
"128","45",5,16,12,4,0.75,"pre","jjr","lt"
"129","45",8,14,9,5,0.642857142857143,"pre","jjr","lt"
"130","45",11,8,4,4,0.5,"pre","jjr","lt"
"131","45",14,14,6,8,0.428571428571429,"pre","jjr","lt"
"132","45",17,12,6,6,0.5,"pre","jjr","lt"
"133","45",20,7,0,7,0,"pre","jjr","lt"
"134","90",3,12,5,7,0.416666666666667,"pre","jjr","lt"
"135","90",5,14,9,5,0.642857142857143,"pre","jjr","lt"
"136","90",8,9,0,9,0,"pre","jjr","lt"
"137","90",11,15,5,10,0.333333333333333,"pre","jjr","lt"
"138","90",14,9,3,6,0.333333333333333,"pre","jjr","lt"
"139","90",17,11,4,7,0.363636363636364,"pre","jjr","lt"
"140","90",20,13,2,11,0.153846153846154,"pre","jjr","lt"
"141","0",3,9,5,4,0.555555555555556,"pre","lrc","cl"
"142","0",5,5,4,1,0.8,"pre","lrc","cl"
"143","0",8,12,8,4,0.666666666666667,"pre","lrc","cl"
"144","0",11,7,4,3,0.571428571428571,"pre","lrc","cl"
"145","0",14,12,5,7,0.416666666666667,"pre","lrc","cl"
"146","0",17,13,2,11,0.153846153846154,"pre","lrc","cl"
"147","0",20,16,2,14,0.125,"pre","lrc","cl"
"148","135",3,14,10,4,0.714285714285714,"pre","lrc","cl"
"149","135",5,10,7,3,0.7,"pre","lrc","cl"
"150","135",8,10,8,2,0.8,"pre","lrc","cl"
"151","135",11,15,6,9,0.4,"pre","lrc","cl"
"152","135",14,10,2,8,0.2,"pre","lrc","cl"
"153","135",17,11,1,10,0.0909090909090909,"pre","lrc","cl"
"154","135",20,10,2,8,0.2,"pre","lrc","cl"
"155","45",3,12,7,5,0.583333333333333,"pre","lrc","cl"
"156","45",5,15,10,5,0.666666666666667,"pre","lrc","cl"
"157","45",8,12,4,8,0.333333333333333,"pre","lrc","cl"
"158","45",11,8,2,6,0.25,"pre","lrc","cl"
"159","45",14,13,5,8,0.384615384615385,"pre","lrc","cl"
"160","45",17,11,1,10,0.0909090909090909,"pre","lrc","cl"
"161","45",20,7,0,7,0,"pre","lrc","cl"
"162","90",3,12,10,2,0.833333333333333,"pre","lrc","cl"
"163","90",5,13,7,6,0.538461538461538,"pre","lrc","cl"
"164","90",8,9,5,4,0.555555555555556,"pre","lrc","cl"
"165","90",11,15,4,11,0.266666666666667,"pre","lrc","cl"
"166","90",14,9,2,7,0.222222222222222,"pre","lrc","cl"
"167","90",17,10,3,7,0.3,"pre","lrc","cl"
"168","90",20,13,2,11,0.153846153846154,"pre","lrc","cl"
"169","0",3,8,1,7,0.125,"pre","mab","lt"
"170","0",5,5,3,2,0.6,"pre","mab","lt"
"171","0",8,11,6,5,0.545454545454545,"pre","mab","lt"
"172","0",11,6,3,3,0.5,"pre","mab","lt"
"173","0",14,12,1,11,0.0833333333333333,"pre","mab","lt"
